k_neighbors,rank,query_id,distance_bin_key,paired_reduction_vs_vanilla,delta_f_minus_v_s,f_n3p_time_s,vanilla_time_s,f_n3p_feasible,vanilla_feasible,fallback_f1_count,fallback_f2_count,fallback_f3_count,failure_reason
10,7,extreme_s02_q0051,d20_inf,-0.6368067992327608,0.7753034539055079,1.9927895970176905,1.2174861431121826,True,True,9,1,1,
10,8,extreme_s04_q0086,d16_20,-0.514077267255812,0.13115337351337075,0.38627722719684243,0.2551238536834717,True,True,18,2,0,
10,9,extreme_s01_q0023,d20_inf,-0.513626745862342,0.4528374136425555,1.334484285209328,0.8816468715667725,True,True,10,1,0,
10,10,extreme_s03_q0063,d20_inf,-0.4825814088653766,0.08531752275303006,0.2621115748770535,0.17679405212402344,True,True,13,1,0,
10,11,extreme_s04_q0083,d20_inf,-0.4120826043445014,1.0304691281635314,3.53110642102547,2.5006372928619385,False,False,16,1,1,f2_failed:prediction:goal_in_collision;goal:timeout;f3_failed:timeout
10,12,extreme_s03_q0074,d16_20,-0.40911643298159484,1.023149155313149,3.524024389917031,2.500875234603882,False,False,10,1,1,f2_failed:prediction:goal_in_collision;goal:timeout;f3_failed:timeout
10,13,extreme_s00_q0011,d20_inf,-0.4066889220495624,1.0169489057734609,3.517506089992821,2.5005571842193604,False,False,9,1,1,f2_failed:prediction:goal_in_collision;goal:timeout;f3_failed:timeout
10,14,extreme_s01_q0028,d08_12,-0.40600257787618155,1.015011478215456,3.5150238759815693,2.5000123977661133,False,False,9,1,1,f2_failed:prediction:goal_in_collision;goal:timeout;f3_failed:timeout
10,15,extreme_s00_q0014,d16_20,-0.4059867946379816,1.0150125769432634,3.5151248720940202,2.500112295150757,False,False,9,1,1,f2_failed:prediction:goal_in_collision;goal:timeout;f3_failed:timeout
10,16,extreme_s03_q0078,d16_20,-0.405610681196098,1.0144138135947287,3.5153682031668723,2.5009543895721436,False,False,9,1,1,f2_failed:prediction:goal_in_collision;goal:timeout;f3_failed:timeout
10,17,extreme_s01_q0029,d12_16,-0.4044426913516237,1.011840245919302,3.5136538960505277,2.5018136501312256,False,False,9,1,1,f2_failed:prediction:goal_in_collision;goal:timeout;f3_failed:timeout
10,18,extreme_s01_q0020,d08_12,-0.23764174841173413,0.05682263011112809,0.2959330999292433,0.23911046981811523,True,True,9,1,0,
10,19,extreme_s03_q0075,d20_inf,-0.15674246046344753,0.04618115117773414,0.34081191709265113,0.294630765914917,True,True,13,1,0,
10,20,extreme_s01_q0034,d16_20,-0.10273323968836778,0.02976152882911265,0.319458699086681,0.28969717025756836,True,True,9,1,0,
