map_id,query_id,difficulty,map_seed,query_seed,start,goal,teacher_success,teacher_failure_reason,teacher_time_s,teacher_expansions,teacher_path_length_m,label_attempted,label_success,label_failure_reason,label_sample_count,total_segment_count,segment_lengths_m
12,2,medium,20270632,20272622,"[4.5, 9.0, -0.4915906445236458]","[17.2, 2.2, -0.4915906445236458]",True,,0.16002821922302246,33,14.770558252193323,True,True,,2,3,"[5.4, 8.0]"
12,3,medium,20270632,20272623,"[27.5, 20.1, 3.0913205815920657]","[11.600000000000001, 20.900000000000002, 3.0913205815920657]",False,timeout,2.500411033630371,3050,0.0,False,False,,0,0,[]
12,4,medium,20270632,20272624,"[18.400000000000002, 3.3000000000000003, 2.176891045349892]","[5.300000000000001, 22.200000000000003, 2.176891045349892]",False,timeout,2.5001585483551025,3575,0.0,False,False,,0,0,[]
12,5,medium,20270632,20272625,"[0.6000000000000001, 5.800000000000001, 1.1370543292008535]","[9.4, 24.8, 1.1370543292008535]",False,timeout,2.5001232624053955,2647,0.0,False,False,,0,0,[]
12,6,medium,20270632,20272626,"[22.200000000000003, 15.9, -2.549165300157915]","[11.8, 8.9, -2.549165300157915]",True,,0.143996000289917,1,12.536347155371857,True,True,,1,2,[8.0]
12,7,medium,20270632,20272627,"[5.1000000000000005, 9.200000000000001, 1.1755696670529885]","[11.9, 25.5, 1.1755696670529885]",True,,0.1938157081604004,121,17.937065439361437,True,True,,2,3,"[8.200000000000001, 7.999999999999998]"
12,8,medium,20270632,20272628,"[16.0, 27.5, -2.0011229399174555]","[10.4, 15.3, -2.0011229399174555]",False,timeout,2.5016374588012695,2749,0.0,False,False,,0,0,[]
12,9,medium,20270632,20272629,"[16.1, 9.200000000000001, 0.5595067561108193]","[26.0, 15.4, 0.5595067561108193]",True,,0.15786170959472656,22,12.22781003957632,True,True,,1,2,[6.4]
13,0,medium,20270633,20273620,"[0.9, 1.5, 0.9677086607027529]","[15.5, 22.700000000000003, 0.9677086607027529]",True,,0.902937650680542,934,27.205234715697383,True,True,,6,7,"[1.6, 3.6, 4.8, 2.0, 8.0, 5.800000000000001]"
13,1,medium,20270633,20273621,"[17.2, 12.9, 1.6688416040887357]","[16.0, 25.1, 1.6688416040887357]",True,,0.27362942695617676,232,12.66821154116953,True,True,,3,4,"[2.0, 2.6000000000000005, 8.0]"
13,2,medium,20270633,20273622,"[24.0, 17.2, 2.632708436809819]","[14.5, 22.5, 2.632708436809819]",True,,0.22988271713256836,115,11.157634979407623,True,True,,1,2,[7.4]
13,3,medium,20270633,20273623,"[26.8, 3.0, 2.6368097256079457]","[1.1, 17.2, 2.6368097256079457]",True,,2.4369843006134033,3147,30.43893749318166,True,True,,5,6,"[7.800000000000001, 7.0, 4.199999999999999, 6.800000000000001, 3.8000000000000007]"
13,4,medium,20270633,20273624,"[25.5, 0.6000000000000001, 2.683389636887274]","[3.4000000000000004, 11.5, 2.683389636887274]",True,,2.075641632080078,3169,25.584645962071136,True,True,,4,5,"[8.0, 5.800000000000001, 2.0, 6.600000000000001]"
13,5,medium,20270633,20273625,"[17.6, 29.3, -1.129829138065507]","[27.700000000000003, 7.9, -1.129829138065507]",True,,0.18759751319885254,97,24.84580983787261,True,True,,3,4,"[3.2, 8.0, 8.000000000000002]"
13,6,medium,20270633,20273626,"[2.4000000000000004, 21.1, -0.5513929966817769]","[23.700000000000003, 8.0, -0.5513929966817769]",True,,0.9866342544555664,1377,25.989186355544305,True,True,,4,5,"[4.6000000000000005, 7.3999999999999995, 5.800000000000001, 8.0]"
13,7,medium,20270633,20273627,"[22.400000000000002, 4.9, 2.3670048798664514]","[3.7, 23.200000000000003, 2.3670048798664514]",False,timeout,2.5011584758758545,5617,0.0,False,False,,0,0,[]
13,8,medium,20270633,20273628,"[16.2, 9.600000000000001, 1.0756630633264923]","[21.6, 19.6, 1.0756630633264923]",True,,0.2662804126739502,206,12.24160107692553,True,True,,2,3,"[1.6, 5.200000000000001]"
