arxiv_id,citation_key,title,authors_short,year,direction_tag,status,source,reason,size_bytes,lines,sections,formulas,pdf_path,md_path
2507.06605,Wu2025Growing,"Growing Trees with an Agent: Accelerating RRTs with Learned, Multi-Step Episodic Exploration",Xinyu Wu,2025,D_asymptotically_optimal_sampling,success,arxiv-e-print,,38858,324,35,155,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Wu2025Growing.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Wu2025Growing.md
2507.09309,Xie2025Informed,Informed Hybrid Zonotope-based Motion Planning Algorithm,Peng Xie et al.,2025,Q_informed_sampling,success,arxiv-e-print,,56404,492,22,382,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Xie2025Informed.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Xie2025Informed.md
2507.10284,Margapuri2025Prompt,Prompt Informed Reinforcement Learning for Visual Coverage Path Planning,Venkat Margapuri,2025,L_learning_path_optimization,success,arxiv-e-print,,36169,219,14,120,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Margapuri2025Prompt.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Margapuri2025Prompt.md
2507.15469,Nguyen2025Emergence,The Emergence of Deep Reinforcement Learning for Path Planning,Thanh Thi Nguyen et al.,2025,R_surveys,success,arxiv-e-print,,38385,174,12,43,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Nguyen2025Emergence.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Nguyen2025Emergence.md
2507.15710,Huang2025Selective,Selective Densification for Rapid Motion Planning in High Dimensions with Narrow Passages,Lu Huang et al.,2025,I_corridor_planning;O_dense_forest_narrow_passage,success,arxiv-e-print,,62860,361,20,378,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Huang2025Selective.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Huang2025Selective.md
2507.16233,Lin2025GFMPlanner,GFM-Planner: Perception-Aware Trajectory Planning with Geometric Feature Metric,Yue Lin et al.,2025,G_subgoal_optimization,success,arxiv-e-print,,44481,339,24,247,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Lin2025GFMPlanner.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Lin2025GFMPlanner.md
2507.17140,Liu2025MultiObjective,Multi-Objective Trajectory Planning for a Robotic Arm in Curtain Wall Installation,Xiao Liu et al.,2025,M_multi_objective_planning,success,pymupdf4llm,,32948,370,17,0,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Liu2025MultiObjective.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Liu2025MultiObjective.md
2507.19831,Khizar2025Feeling,Feeling the Force: A Nuanced Physics-based Traversability Sensor for Navigation in Unstructured Vegetation,Zaar Khizar et al.,2025,O_dense_forest_narrow_passage,success,arxiv-e-print,,29927,251,15,98,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Khizar2025Feeling.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Khizar2025Feeling.md
2507.19860,Dong2025Homotopyaware,Homotopy-aware Multi-agent Navigation via Distributed Model Predictive Control,Haoze Dong et al.,2025,J_homotopy_topology,success,arxiv-e-print,,51944,371,28,278,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Dong2025Homotopyaware.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Dong2025Homotopyaware.md
2507.23350,Ghorab2025MultiWaypoint,Multi-Waypoint Path Planning and Motion Control for Non-holonomic Mobile Robots in Agricultural Applications,Mahmoud Ghorab et al.,2025,G_subgoal_optimization;K_dubins_reeds_shepp,success,arxiv-e-print,,33552,227,12,103,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Ghorab2025MultiWaypoint.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Ghorab2025MultiWaypoint.md
2508.06722,London2025Improved,Improved Obstacle Avoidance for Autonomous Robots with ORCA-FLC,Justin London,2025,C_elastic_band,success,arxiv-e-print,,58338,539,9,196,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/London2025Improved.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/London2025Improved.md
2508.10203,Osburn2025Systematic,Systematic Constraint Formulation and Collision-Free Trajectory Planning Using Space-Time Graphs of Convex Sets,Matthew D. Osburn et al.,2025,I_corridor_planning,success,arxiv-e-print,,69216,530,23,319,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Osburn2025Systematic.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Osburn2025Systematic.md
2508.18627,Jiao2025Integration,Integration of Robot and Scene Kinematics for Sequential Mobile Manipulation Planning,Ziyuan Jiao et al.,2025,G_subgoal_optimization,success,pymupdf4llm,,112328,757,36,0,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Jiao2025Integration.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Jiao2025Integration.md
2508.20884,Zhang2025Deep,Deep Fuzzy Optimization for Batch-Size and Nearest Neighbors in Optimal Robot Motion Planning,Liding Zhang et al.,2025,L_learning_path_optimization,success,arxiv-e-print,,26881,270,21,164,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/pdf/Zhang2025Deep.pdf,/Users/sun/tongbu/study/phdproject/ForestNav/1_survey/papers/md/Zhang2025Deep.md
