difficulty_bucket,query_id,expansion_idx,state_x,state_y,state_theta,goal_x,goal_y,goal_theta,nearest_obstacle_m,oracle_a_failure_reason,oracle_b_failure_reason,candidate_raw_count,candidate_rs_reachable_count,oracle_b_attempted_candidate_count,oracle_b_selected_candidate_source,oracle_b_total_path_length_m,oracle_b_min_clearance_m,oracle_b_direction_switches,source_head
Extreme,extreme_s00_q0006,144,23.925042792977884,11.599277356319327,-2.9079210071043526,9.3,11.100000000000001,-3.0694290246301357,1.100000023841858,timeout,,345,38,1,goal_annulus,16.444568735427097,0.08109916114466897,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,152,23.437900733780374,11.243737554527394,-2.469429024630136,9.3,11.100000000000001,-3.0694290246301357,0.761577308177948,timeout,,395,37,1,goal_annulus,15.780159560241886,0.05885549162704512,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,160,23.178852096741604,11.094671041194777,-2.769429024630136,9.3,11.100000000000001,-3.0694290246301357,0.6403124332427979,timeout,,395,37,1,goal_annulus,15.62842577380182,0.07312077138705242,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,168,23.369044872694523,11.40792207681206,-2.469429024630136,9.3,11.100000000000001,-3.0694290246301357,0.7071067690849304,timeout,,396,37,1,goal_annulus,15.916148693705495,0.08241262429070695,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,176,23.996826391189778,11.461916631181113,-2.469429024630136,9.3,11.100000000000001,-3.0694290246301357,1.2000000476837158,timeout,,396,38,1,goal_annulus,16.35219332283109,0.06380780959998716,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,184,23.190992760486697,11.073759042821282,-2.607921007104353,9.3,11.100000000000001,-3.0694290246301357,0.6403124332427979,timeout,,395,37,1,goal_annulus,15.492125680339221,0.0674689220285497,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,192,23.63551187590035,11.527023951562388,-2.607921007104353,9.3,11.100000000000001,-3.0694290246301357,0.8999999761581421,timeout,,344,37,1,goal_annulus,16.111700580818244,0.05194981124330911,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,200,22.910953117567455,10.93660137009482,-2.630937042155919,9.3,11.100000000000001,-3.0694290246301357,0.5830951929092407,timeout,,395,37,5,goal_annulus,16.79514915633623,0.06532373139139769,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,208,23.145211291201786,11.159055908251602,-2.3309370421559192,9.3,11.100000000000001,-3.0694290246301357,0.5,timeout,,395,37,1,goal_annulus,15.507940411412244,0.060329927436520825,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
Extreme,extreme_s00_q0006,216,23.70751438112717,11.366864587115899,-2.9079210071043526,9.3,11.100000000000001,-3.0694290246301357,1.0049875974655151,timeout,,397,38,1,goal_annulus,16.098435426987265,0.06020755870825528,1.0,1f4f96f82bca68f06cc6e9a08adb9ea9aaf993a5
